State min wage,,living wage with 0 children,,,
Alabama, 7.25 ,11.33,,,
Alaska,9.84,12.89,,,
Arizona,10.5,11.68,,,
Arkansas,8.5,10.62,,,
California,11,14.61,,,
Colorado,10.2,13.19,,,
Connecticut,10.1,13.13,,,
Delaware,8.25,12.68,,,
District of Columbia,13.25,17.76,,,
Florida,8.25,12.17,,,
Georgia,7.25 ,12.46,,,
Hawaii,10.10 ,15.73,,,
Idaho,7.25,11.04,,,
Illinois,8.25 ,12.77,,,
Indiana,7.75,11.07,,,
Iowa,7.25 ,10.89,,,
Kansas,7.25,10.96,,,
Kentucky,7.25,10.82,,,
Louisiana,7.25 ,11.28,,,
Maine,10.00 ,11.91,,,
Maryland,10.1,15.08,,,
Massachusetts,11,13.96,,,
Michigan,9.25,11.29,,,
Minnesota,9.65,11.87,,,
Mississippi,7.25,11.04,,,
Missouri,7.85,11.14,,,
Montana,8.3,11.38,,,
Nebraska,9,11.02,,,
Nevada,8.25,11.26,,,
New Hampshire,7.25 ,12.29,,,
New Jersey,8.6,13.92,,,
New Mexico,7.5,11.25,,,
New York,10.4,15.09,,,
North Carolina,7.25 ,11.79,,,
North Dakota,7.25,11.12,,,
Ohio,8.3,10.78,,,
Oklahoma,7.25,10.95,,,
Oregon,10.75,13.12,,,
Pennsylvania,7.25,11.45,,,
Rhode Island,10.10 ,12.35,,,
South Carolina,7.25 ,11.55,,,
South Dakota,8.85,10.38,,,
Tennessee,7.25 ,10.75,,,
Texas,7.25,11.48,,,
Utah,7.25,11.58,,,
Vermont,10.5,12.57,,,
Virginia,7.25,14.17,,,
Washington,11.5,13.3,,,
West Virginia,8.75,10.84,,,
Wisconsin,7.25,11.41,,,
Wyoming,7.25,11.1,,,
,,,,,
,,,,,
,,,,,
Source: livingwage.mit.edu,,,,,
,,,,,
,,,,,
