state,homelessness_rate
Alabama,70
Alaska,273
Arizona,138
Arkansas,90
California,329
Colorado,191
Connecticut,111
Delaware,112
Florida,146
Georgia,90
Hawaii,460
Idaho,115
Illinois,84
Indiana,79
Iowa,87
Kansas,76
Kentucky,83
Louisiana,66
Maine,188
Maryland,118
Massachusetts,291
Michigan,84
Minnesota,129
Mississippi,45
Missouri,96
Montana,132
Nebraska,125
Nevada,249
New Hampshire,107
New Jersey,105
New Mexico,122
New York,470
North Carolina,89
North Dakota,71
Ohio,88
Oklahoma,98
Oregon,345
Pennsylvania,106
Rhode Island,100
South Carolina,104
South Dakota,77
Tennessee,131
Texas,116
Utah,88
Vermont,91
Virginia,206
Washington,70
West Virginia,296
Wisconsin,69
Wyoming,84
